,,informatics задачи - ссылка,informatics задачи - название,e-maxx-теория ссылки,e-maxx теория - название,,фоксфорд теория - ссылка,фоксфорд теория - заголовок,фоксфорд видео - ссылка,фоксфорд видео - заголовок,,ЛКШ видео - ссылка,ЛКШ видео заголовок,,,unique id,color,habr - ссылка,habr - заголовок
47,Взаимное расположение точек и прямых,,,http://e-maxx.ru/algo/segments_intersection,Точка пересечения отрезков,,,,,,,,,,,,,,
52,Одномерное ДП,,,,,,http://foxford.ru/wiki/informatika/odnomernoe-dinamicheskoe-programmirovanie-kolichestvo-sposobov,Количество способов,http://foxford.ru/wiki/informatika/odnomernoe-dinamicheskoe-programmirovanie-kolichestvo-sposobov,Количество способов,,http://sis.khashaev.ru/2013/august/c-prime/Rh9RHwH5Vj8/,Задача о кузнечике,,,,,,
58,Перебор комбинаторных объектов,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/bwnRmaaYXMg/,Подмножества,,,,,,
58,Перебор комбинаторных объектов,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/veWlgAMkQEs/,Сочетания,,,,,,
60,Окружности,,,http://e-maxx.ru/algo/circles_intersection,Пересечение двух окружностей,,,,,,,,,,,,,,
60,Окружности,,,http://e-maxx.ru/algo/circle_tangents,Общая касательная к двум окружностям,,,,,,,,,,,,,,
63,Алгоритм Краскала,,,http://e-maxx.ru/algo/mst_kruskal_with_dsu,Алгоритм Краскала с СНМ,,,,,,,,,,,,,,
66,Динамическое программирование,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/H5wxrKFMTQ4/,Восстановление ответа,,,,,,
70,Множества. Формула включения-исключения,http://informatics.mccme.ru/py-source/source/dir/240-457,Множества,http://e-maxx.ru/algo/inclusion_exclusion_principle,,,,,,,,,,,,,,,
78,Поиск в массиве,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/YSjhrvKHo8Y/,"Максимум, второй максимум",,,,,,
79,Квадратичные сортировки,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/gZGwKXwjffg/,Сортировка выбором максимума,,,,,,
79,Квадратичные сортировки,,,,,,,,,,,,,,,,,,
